58668.78393812659  161.81 (2.15,-3.91)   26.9 (1.91,-1.94)
56043.41532671855  183.56 (2.15,-2.02)   0.52 (0.71,-0.86)
57157.94156141448  91.49 (0.92,-0.75)   12.14 (0.5,-0.53)
57284.20566484769  279.54 (1.76,-2.29)   30.35 (1.5,-2.19)
57732.83796659917  46.36 (2.37,-0.92)   15.25 (1.08,-0.93)
58748.96105979347  5.71 (1.19,-1.27)   -1.53 (0.78,-0.9)
57612.68415338799  86.99 (15.29,-15.29)   48.83 (10.0,-9.95)
59113.79667700687  195.29 (2.33,-1.71)   26.24 (1.46,-1.73)
58218.77679461517  218.5 (0.79,-1.27)   0.56 (0.71,-0.75)
58821.94874207213  80.16 (2.42,-1.98)   2.87 (0.97,-1.05)
58370.60418386328  141.37 (1.05,-1.27)   26.94 (1.0,-0.88)
59183.84845457848  30.54 (1.1,-1.27)   -12.1 (1.14,-1.11)
56608.03124344143  129.24 (0.26,-0.26)   -17.27 (0.16,-0.16)
56367.7359925578  303.41 (2.98,-3.55)   54.68 (1.59,-1.77)
57478.56517147233  151.22 (0.66,-0.66)   15.48 (0.73,-0.66)
56070.63865189075  343.78 (4.92,-4.48)   15.48 (1.54,-2.38)
58018.87118560489  77.43 (1.14,-0.75)   5.79 (0.41,-0.64)
59067.57704206692  157.25 (1.17,-0.87)   47.75 (0.64,-0.59)
56660.88576485459  37.9 (25.61,-27.3)   78.97 (9.97,-5.86)
58135.75220559863  206.1 (1.19,-1.14)   3.92 (0.78,-0.71)
56679.20447983344  220.29 (8.94,-8.37)   -86.07 (0.59,-0.64)
55904.45690159585  99.98 (1.19,-2.02)   20.42 (2.02,-1.6)
58960.02458611799  87.93 (3.43,-2.81)   8.23 (2.08,-1.81)
56889.378046941  271.45 (3.43,-1.8)   1.87 (1.46,-1.42)
56390.18877428146  167.83 (2.64,-3.96)   20.66 (0.99,-1.28)
56542.79309917137  130.17 (0.48,-0.31)   -10.54 (0.3,-0.27)
56192.54933227013  70.62 (1.49,-1.27)   19.79 (0.71,-0.91)
55728.72979097178  71.15 (1.41,-2.07)   5.38 (0.9,-0.79)
56842.29777539684  157.07 (4.69,-4.64)   53.62 (3.48,-3.35)
59103.59706286398  51.11 (4.39,-10.99)   38.11 (2.31,-1.97)
56665.307897028  344.66 (0.53,-0.48)   1.57 (0.34,-0.37)
58528.67267812246  228.25 (0.79,-0.53)   -4.14 (0.3,-0.37)
55885.97335470221  356.84 (0.53,-0.62)   -11.99 (0.27,-0.23)
55911.27685053114  36.74 (1.8,-2.24)   18.88 (2.82,-2.46)
57443.88039407472  311.87 (2.18,-1.78)   60.06 (1.37,-1.65)
56443.55692494961  164.18 (2.42,-2.15)   6.32 (1.27,-1.32)
57283.54571304107  49.83 (2.5,-3.74)   -2.95 (1.35,-1.34)
58337.20231338376  100.37 (4.0,-5.05)   11.15 (2.12,-2.98)
57673.61257692857  190.06 (2.2,-4.04)   -7.48 (2.98,-2.18)
56421.18583123269  317.5 (1.76,-1.85)   2.09 (1.34,-1.19)
57758.14192253704  309.95 (5.01,-7.56)   8.16 (3.34,-2.0)
57600.78487911152  312.63 (3.74,-3.21)   20.07 (2.13,-2.56)
58857.98726780584  165.45 (3.6,-4.39)   11.8 (1.29,-1.18)
58507.15549527989  307.44 (0.53,-1.14)   -32.22 (0.31,-0.96)
57695.38022137248  40.87 (1.05,-0.57)   12.52 (0.61,-1.15)
55756.11298443852  68.2 (0.31,-1.1)   40.67 (0.44,-0.44)
55780.97970434913  336.8 (1.36,-1.98)   1.53 (0.78,-0.93)
58992.10425457315  338.64 (9.98,-6.02)   1.75 (1.79,-3.51)
56317.65900654516  280.46 (1.89,-2.33)   -1.9 (0.82,-0.93)
56620.14505449561  285.16 (2.2,-1.54)   19.47 (1.46,-1.43)
56089.36416964872  39.95 (0.26,-0.26)   -15.09 (0.31,-0.19)
56226.59949621974  169.8 (1.32,-1.41)   27.91 (0.88,-0.85)
55846.86687056347  172.13 (1.4,-1.39)   44.7 (0.45,-0.79)
55987.80691328732  237.96 (0.53,-0.62)   18.76 (0.51,-0.47)
59205.03907574695  206.37 (0.88,-0.75)   13.44 (0.54,-0.34)
57168.01697966309  139.79 (2.46,-2.99)   -1.49 (1.01,-0.9)
56319.27998864782  352.97 (1.32,-1.01)   -1.98 (0.9,-0.97)
59168.08849784114  195.12 (1.23,-1.45)   1.38 (1.27,-1.08)
55833.26046548522  121.45 (1.34,-1.29)   50.04 (0.15,-0.24)
58177.57240411086  294.79 (1.85,-1.71)   26.4 (1.12,-0.79)
58865.46423253074  116.02 (0.79,-1.19)   29.18 (0.81,-0.86)
59192.42759194133  6.86 (1.01,-1.19)   -9.25 (0.94,-1.1)
55885.96104031756  26.06 (1.89,-3.16)   9.82 (1.36,-1.4)
56817.63639386016  106.26 (2.68,-2.15)   1.31 (0.86,-1.05)
58277.59689648438  69.08 (1.63,-1.41)   -1.08 (0.78,-0.78)
56512.33958626503  26.59 (1.14,-1.23)   9.22 (0.87,-0.91)
