name,flux,ra,dec
J0138-0540,0.209,0.43137639560967306,-0.09894195282908226
J0138-2254,0.221,0.4317846872447429,-0.39990986393085265
J0139+1753,0.244,0.43502180125923995,0.3121596514766871
J0139+0131,0.176,0.43613638379119446,0.026694514348724534
J0140-1532,0.315,0.4366548498443509,-0.2713777547825757
J0140+6346,0.293,0.43946502192627945,1.1129716942840397
J0140+4342,0.155,0.4403076254375726,0.762928056769332
J0141+1353,0.257,0.44136093156842915,0.24244757906054068
J0141-0928,0.526,0.44257420345204945,-0.165436241018845
J0141-0202,0.219,0.44315292692490893,-0.035592855822457345
J0142-6044,0.475,0.4491973191927127,-1.0602339823693434
J0143+1338,0.274,0.44959097253318,0.2381643163650054
J0143+4129,0.188,0.44965386874526797,0.724119874047115
J0143-3200,0.251,0.45015907189599436,-0.5587800185938046
J0144+2705,0.263,0.45622571027588815,0.4727084566389647
J0144-3938,0.162,0.45771940224693103,-0.6917831885438707
J0145-2733,0.664,0.45839579041774126,-0.48100463794655063
J0145+2319,0.306,0.4619963807390504,0.4070461628311927
J0146+2110,0.278,0.4667871286760311,0.3695462437187974
J0147+2115,0.154,0.47078968432292595,0.37107506560430237
J0148+3854,0.457,0.47301168299220436,0.6789583877059078
J0149+0555,0.883,0.4772290781253221,0.10352502159005905
J0149+3628,0.179,0.4789530607642898,0.6366216509213555
J0149+1857,0.387,0.47921788466223847,0.33083982178836013
J0151-1732,0.358,0.4847712607608628,-0.3062311955163664
J0151+2744,0.598,0.4863029932737837,0.4842406006497585
J0152+3716,0.227,0.4895808502543393,0.6504535111010421
J0152+2207,0.967,0.4900054812982561,0.38604598272867474
J0152-1412,0.296,0.491020202344508,-0.248027741672582
J0152-2942,0.169,0.4911424081170711,-0.5185951448831122
J0152+3350,0.262,0.4912066571774955,0.5906638222811947
